# input | exact output: label R count [degree first last (wx wy wz w)*]
upstream_cubic_w0_op0 S 3 4 2 0 1 0 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w0_op0 R 1 3 0 1 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1
upstream_cubic_w0_op1 S 3 4 2 0 1 1 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w0_op1 R 1 3 1/4 3/4 3/4 9/16 0 1 5/4 13/16 0 1 7/4 13/16 0 1 9/4 9/16 0 1
upstream_cubic_w0_op2 S 3 4 2 0 1 2 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w0_op2 R 2 3 0 3/8 0 0 0 1 3/8 3/8 0 1 3/4 39/64 0 1 9/8 45/64 0 1 3 3/8 1 9/8 45/64 0 1 7/4 55/64 0 1 19/8 5/8 0 1 3 0 0 1
upstream_cubic_w0_op3 S 3 4 2 0 1 3 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w0_op3 R 1 3 0 1 3 0 0 1 2 1 0 1 1 1 0 1 0 0 0 1
upstream_cubic_w0_op4 S 3 4 2 0 1 4 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w0_op4 R 1 6 0 1 0 0 0 1 1/2 1/2 0 1 1 4/5 0 1 3/2 9/10 0 1 2 4/5 0 1 5/2 1/2 0 1 3 0 0 1
upstream_cubic_w0_op5 S 3 4 2 0 1 5 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w0_op5 R 2 6 1/4 7/16 9/4 9/16 0 1 69/32 39/64 0 1 33/16 831/1280 0 1 63/32 873/1280 0 1 15/8 453/640 0 1 57/32 93/128 0 1 27/16 189/256 0 1 6 7/16 3/4 27/16 189/256 0 1 49/32 97/128 0 1 11/8 97/128 0 1 39/32 189/256 0 1 17/16 179/256 0 1 29/32 41/64 0 1 3/4 9/16 0 1
upstream_cubic_w1_op0 S 3 4 2 0.125 0.875 0 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w1_op0 R 1 3 1/8 7/8 3/8 21/64 0 1 9/8 57/64 0 1 15/8 57/64 0 1 21/8 21/64 0 1
upstream_cubic_w1_op1 S 3 4 2 0.125 0.875 1 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w1_op1 R 1 3 5/16 11/16 15/16 165/256 0 1 21/16 201/256 0 1 27/16 201/256 0 1 33/16 165/256 0 1
upstream_cubic_w1_op2 S 3 4 2 0.125 0.875 2 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w1_op2 R 2 3 1/8 13/32 3/8 21/64 0 1 21/32 69/128 0 1 15/16 687/1024 0 1 39/32 741/1024 0 1 3 13/32 7/8 39/32 741/1024 0 1 27/16 831/1024 0 1 69/32 87/128 0 1 21/8 21/64 0 1
upstream_cubic_w1_op3 S 3 4 2 0.125 0.875 3 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w1_op3 R 1 3 1/8 7/8 21/8 21/64 0 1 15/8 57/64 0 1 9/8 57/64 0 1 3/8 21/64 0 1
