# valid case	v|u|f index (vertex, fin arena index, face)	certain lower value of its gap
box	f 0	0.0
box	f 1	0.0
box	f 2	0.0
box	f 3	0.0
box	f 4	0.0
box	f 5	0.0
box	u 0	0.0
box	u 1	0.0
box	u 2	0.0
box	u 3	0.0
box	u 4	0.0
box	u 5	0.0
box	u 6	0.0
box	u 7	0.0
box	u 8	0.0
box	u 9	0.0
box	u 10	0.0
box	u 11	0.0
box	u 12	0.0
box	u 13	0.0
box	u 14	0.0
box	u 15	0.0
box	u 16	0.0
box	u 17	0.0
box	u 18	0.0
box	u 19	0.0
box	u 20	0.0
box	u 21	0.0
box	u 22	0.0
box	u 23	0.0
box	v 0	0.0
box	v 1	0.0
box	v 2	0.0
box	v 3	0.0
box	v 4	0.0
box	v 5	0.0
box	v 6	0.0
box	v 7	0.0
cylinder	f 0	3.6739403974420594e-16
cylinder	f 1	3.6739403974420594e-16
cylinder	f 2	0.0
cylinder	u 0	0.0
cylinder	u 1	0.0
cylinder	u 2	0.0
cylinder	u 3	0.0
plate_square_hole	f 0	0.0
plate_square_hole	f 1	0.0
plate_square_hole	f 2	0.0
plate_square_hole	f 3	0.0
plate_square_hole	f 4	0.0
plate_square_hole	f 5	0.0
plate_square_hole	f 6	0.0
plate_square_hole	f 7	0.0
plate_square_hole	f 8	0.0
plate_square_hole	f 9	0.0
plate_square_hole	u 0	0.0
plate_square_hole	u 1	0.0
plate_square_hole	u 2	0.0
plate_square_hole	u 3	0.0
plate_square_hole	u 4	0.0
plate_square_hole	u 5	0.0
plate_square_hole	u 6	0.0
plate_square_hole	u 7	0.0
plate_square_hole	u 8	0.0
plate_square_hole	u 9	0.0
plate_square_hole	u 10	0.0
plate_square_hole	u 11	0.0
plate_square_hole	u 12	0.0
plate_square_hole	u 13	0.0
plate_square_hole	u 14	0.0
plate_square_hole	u 15	0.0
plate_square_hole	u 16	0.0
plate_square_hole	u 17	0.0
plate_square_hole	u 18	0.0
plate_square_hole	u 19	0.0
plate_square_hole	u 20	0.0
plate_square_hole	u 21	0.0
plate_square_hole	u 22	0.0
plate_square_hole	u 23	0.0
plate_square_hole	u 24	0.0
plate_square_hole	u 25	0.0
plate_square_hole	u 26	0.0
plate_square_hole	u 27	0.0
plate_square_hole	u 28	0.0
plate_square_hole	u 29	0.0
plate_square_hole	u 30	0.0
plate_square_hole	u 31	0.0
plate_square_hole	u 32	0.0
plate_square_hole	u 33	0.0
plate_square_hole	u 34	0.0
plate_square_hole	u 35	0.0
plate_square_hole	u 36	0.0
plate_square_hole	u 37	0.0
plate_square_hole	u 38	0.0
plate_square_hole	u 39	0.0
plate_square_hole	u 40	0.0
plate_square_hole	u 41	0.0
plate_square_hole	u 42	0.0
plate_square_hole	u 43	0.0
plate_square_hole	u 44	0.0
plate_square_hole	u 45	0.0
plate_square_hole	u 46	0.0
plate_square_hole	u 47	0.0
plate_square_hole	v 0	0.0
plate_square_hole	v 1	0.0
plate_square_hole	v 2	0.0
plate_square_hole	v 3	0.0
plate_square_hole	v 4	0.0
plate_square_hole	v 5	0.0
plate_square_hole	v 6	0.0
plate_square_hole	v 7	0.0
plate_square_hole	v 8	0.0
plate_square_hole	v 9	0.0
plate_square_hole	v 10	0.0
plate_square_hole	v 11	0.0
plate_square_hole	v 12	0.0
plate_square_hole	v 13	0.0
plate_square_hole	v 14	0.0
plate_square_hole	v 15	0.0
