# case	step	relation (explicit) or digest (corpus)
polygon_3	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_3	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_3	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_3	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_3	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_3	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_3	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_3	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_3	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_3	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_3	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_3	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_3	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_3	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_3	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_3	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_3	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_3	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_3	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_3	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_4	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_4	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_4	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_4	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_4	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_4	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_4	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_4	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_4	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_4	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_4	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_4	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_4	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_4	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_4	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_4	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_4	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_4	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_4	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_4	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_4	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_4	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_4	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_4	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_4	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_4	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_5	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_5	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_5	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_5	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_5	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_5	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_5	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_5	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
