# case	id kind role ordinal parents locator (explicit) or digest (corpus)
polygon_3	2958f71aa862bed0ba8b2c50803f2850 vertex bottom_vertex 0 P0.v0 0 vertex 0 start
polygon_3	29606acfb462bed0ba8b2c52cb1719c1 vertex bottom_vertex 0 P0.v1 0 vertex 1 start
polygon_3	2967de84c062bed0ba8b2c5515ef0b32 vertex bottom_vertex 0 P0.v2 0 vertex 2 start
polygon_3	29c3ea84e403c1866d0680fb96752d34 face wall 0 P0.s2 0 segment 2 both
polygon_3	29d2d1eefc03c1866d0681002c251016 face wall 0 P0.s0 0 segment 0 both
polygon_3	29da45a40803c1866d06810276fd0187 face wall 0 P0.s1 0 segment 1 both
polygon_3	6e8f3c5ba50efaabc964e574bc8693b6 face end_cap 0 P0.b0 cap end
polygon_3	749654a4de057d82e5c5cda30eaff6ff face start_cap 0 P0.b0 cap start
polygon_3	929eff9b9aada398e599a73b90078d8c edge bottom_edge 0 P0.s2 0 segment 2 start
polygon_3	92ade705b2ada398e599a74025b7706e edge bottom_edge 0 P0.s0 0 segment 0 start
polygon_3	92b55ababeada398e599a742708f61df edge bottom_edge 0 P0.s1 0 segment 1 start
polygon_3	e2d9157484b8dcbe41f80e8482f718a8 edge top_edge 0 P0.s1 0 segment 1 end
polygon_3	e2e0892990b8dcbe41f80e86cdcf0a19 edge top_edge 0 P0.s0 0 segment 0 end
polygon_3	e2ef7093a8b8dcbe41f80e8b637eecfb edge top_edge 0 P0.s2 0 segment 2 end
polygon_3	f003dcfb1c5785ab5e2ccaa971e3d7d9 vertex top_vertex 0 P0.v2 0 vertex 2 end
polygon_3	f00b50b0285785ab5e2ccaabbcbbc94a vertex top_vertex 0 P0.v1 0 vertex 1 end
polygon_3	f012c465345785ab5e2ccaae0793babb vertex top_vertex 0 P0.v0 0 vertex 0 end
polygon_3	f4566574f2af5f955e58f984ecd691fc edge vertical 0 P0.v1 0 vertex 1 both
polygon_3	f45dd929feaf5f955e58f98737ae836d edge vertical 0 P0.v0 0 vertex 0 both
polygon_3	f46cc09416af5f955e58f98bcd5e664f edge vertical 0 P0.v2 0 vertex 2 both
polygon_4	2958f71aa862bed0ba8b2c50803f2850 vertex bottom_vertex 0 P0.v0 0 vertex 0 start
polygon_4	29606acfb462bed0ba8b2c52cb1719c1 vertex bottom_vertex 0 P0.v1 0 vertex 1 start
polygon_4	2967de84c062bed0ba8b2c5515ef0b32 vertex bottom_vertex 0 P0.v2 0 vertex 2 start
polygon_4	296f5239cc62bed0ba8b2c5760c6fca3 vertex bottom_vertex 0 P0.v3 0 vertex 3 start
polygon_4	29c3ea84e403c1866d0680fb96752d34 face wall 0 P0.s2 0 segment 2 both
polygon_4	29cb5e39f003c1866d0680fde14d1ea5 face wall 0 P0.s3 0 segment 3 both
polygon_4	29d2d1eefc03c1866d0681002c251016 face wall 0 P0.s0 0 segment 0 both
polygon_4	29da45a40803c1866d06810276fd0187 face wall 0 P0.s1 0 segment 1 both
polygon_4	6e8f3c5ba50efaabc964e574bc8693b6 face end_cap 0 P0.b0 cap end
polygon_4	749654a4de057d82e5c5cda30eaff6ff face start_cap 0 P0.b0 cap start
polygon_4	929eff9b9aada398e599a73b90078d8c edge bottom_edge 0 P0.s2 0 segment 2 start
polygon_4	92a67350a6ada398e599a73ddadf7efd edge bottom_edge 0 P0.s3 0 segment 3 start
polygon_4	92ade705b2ada398e599a74025b7706e edge bottom_edge 0 P0.s0 0 segment 0 start
polygon_4	92b55ababeada398e599a742708f61df edge bottom_edge 0 P0.s1 0 segment 1 start
