# input | exact output: flags, degree, periodic, complete homogeneous controls and knots
upstream_cubic_identity S 3 4 2 0 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_identity R 0 3 0 4 2 0 1 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4
upstream_cubic_insert S 3 4 2 1 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 I 0.25 3 | upstream_cubic_insert R 1 1 3 0 7 3 0 1 0 0 0 1 1/4 1/4 0 1 1/2 7/16 0 1 3/4 9/16 0 1 3/2 15/16 0 1 9/4 3/4 0 1 3 0 0 1 0 4 1/4 3 1 4
upstream_cubic_sequence S 3 4 2 4 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 I 0.75 1 I 0.25 3 I 0.75 3 I 0.25 1 | upstream_cubic_sequence R 4 1 1 1 1 3 0 10 4 0 1 0 0 0 1 1/4 1/4 0 1 1/2 7/16 0 1 3/4 9/16 0 1 5/4 13/16 0 1 7/4 13/16 0 1 9/4 9/16 0 1 5/2 7/16 0 1 11/4 1/4 0 1 3 0 0 1 0 4 1/4 3 3/4 3 1 4
upstream_cubic_roundtrip S 3 4 2 2 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 I 0.25 1 R 0.25 0 | upstream_cubic_roundtrip R 2 1 1 3 0 4 2 0 1 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4
upstream_cubic_full_roundtrip S 3 4 2 2 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 I 0.25 3 R 0.25 0 | upstream_cubic_full_roundtrip R 2 1 1 3 0 4 2 0 1 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4
quarter_conic_identity B 2 3 2 0 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_identity R 0 2 0 3 2 0 1 1 0 0 1 6369051672525773/9007199254740992 6369051672525773/9007199254740992 0 6369051672525773/9007199254740992 0 1 0 1 0 3 1 3
quarter_conic_insert B 2 3 2 1 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 I 0.25 2 | quarter_conic_insert R 1 1 2 0 5 3 0 1 1 0 0 1 33390649436748749/36028797018963968 6369051672525773/36028797018963968 0 33390649436748749/36028797018963968 59639551663911783/72057594037927936 23610754644947815/72057594037927936 0 64143151291282279/72057594037927936 19107155017577319/36028797018963968 28114354272318311/36028797018963968 0 28114354272318311/36028797018963968 0 1 0 1 0 3 1/4 2 1 3
quarter_conic_sequence B 2 3 2 4 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 I 0.75 1 I 0.25 2 I 0.75 2 I 0.25 1 | quarter_conic_sequence R 4 1 1 1 1 2 0 7 4 0 1 1 0 0 1 33390649436748749/36028797018963968 6369051672525773/36028797018963968 0 33390649436748749/36028797018963968 59639551663911783/72057594037927936 23610754644947815/72057594037927936 0 64143151291282279/72057594037927936 45356057244740353/72057594037927936 45356057244740353/72057594037927936 0 58866856126851841/72057594037927936 23610754644947815/72057594037927936 59639551663911783/72057594037927936 0 64143151291282279/72057594037927936 6369051672525773/36028797018963968 33390649436748749/36028797018963968 0 33390649436748749/36028797018963968 0 1 0 1 0 3 1/4 2 3/4 2 1 3
quarter_conic_roundtrip B 2 3 2 2 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 I 0.25 1 R 0.25 0 | quarter_conic_roundtrip R 2 1 1 2 0 3 2 0 1 1 0 0 1 6369051672525773/9007199254740992 6369051672525773/9007199254740992 0 6369051672525773/9007199254740992 0 1 0 1 0 3 1 3
quarter_conic_full_roundtrip B 2 3 2 2 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 I 0.25 2 R 0.25 0 | quarter_conic_full_roundtrip R 2 1 1 2 0 3 2 0 1 1 0 0 1 6369051672525773/9007199254740992 6369051672525773/9007199254740992 0 6369051672525773/9007199254740992 0 1 0 1 0 3 1 3
d1_r0_s1_identity B 1 2 2 0 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_identity R 0 1 0 2 2 0 1 -3 -5 -6 1 -2 -4 1 1 0 2 1 2
d1_r0_s1_insert B 1 2 2 1 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 I 0.25 1 | d1_r0_s1_insert R 1 1 1 0 3 3 0 1 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -2 -4 1 1 0 2 1/4 1 1 2
d1_r0_s1_sequence B 1 2 2 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 I 0.75 1 I 0.25 1 I 0.75 1 I 0.25 1 | d1_r0_s1_sequence R 4 1 1 1 1 1 0 4 4 0 1 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -9/4 -17/4 -3/4 1 -2 -4 1 1 0 2 1/4 1 3/4 1 1 2
d1_r0_s1_roundtrip B 1 2 2 2 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 I 0.25 1 R 0.25 0 | d1_r0_s1_roundtrip R 2 1 1 1 0 2 2 0 1 -3 -5 -6 1 -2 -4 1 1 0 2 1 2
d1_r0_s1_full_roundtrip B 1 2 2 2 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 I 0.25 1 R 0.25 0 | d1_r0_s1_full_roundtrip R 2 1 1 1 0 2 2 0 1 -3 -5 -6 1 -2 -4 1 1 0 2 1 2
d1_r0_s3_identity S 1 4 4 0 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_identity R 0 1 0 4 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2
d1_r0_s3_insert S 1 4 4 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 I 0.25 1 | d1_r0_s3_insert R 1 1 1 0 5 5 0 3 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1/4 1 1 1 2 1 3 2
d1_r0_s3_sequence S 1 4 4 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 I 0.75 1 I 0.25 1 I 0.75 1 I 0.25 1 | d1_r0_s3_sequence R 4 1 1 1 1 1 0 6 6 0 3 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -9/4 -17/4 -3/4 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1/4 1 3/4 1 1 1 2 1 3 2
d1_r0_s3_roundtrip S 1 4 4 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 I 0.25 1 R 0.25 0 | d1_r0_s3_roundtrip R 2 1 1 1 0 4 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2
