# case	kind	values
apex	counts	2 3 2 2 1 1
apex	props	12.566370614359172 35.22071741263713 0.0 0.0 0.75 11.780972450961725 0.0 0.0 11.780972450961725 0.0 15.079644737231007
apex	face	cone 22.654346798277956 0.0 0.0 1.0
apex	face	plane 12.566370614359172 0.0 0.0 0.0
apex	edge	degenerated closed 0.0 0.0 0.0 3.0
apex	edge	regular closed 12.566370614359172 -2.0 0.0 0.0
apex	edge	regular open 3.605551275463989 1.0 0.0 1.5
apex	vertex	0.0 0.0 3.0
apex	vertex	2.0 0.0 0.0
apex_at_base	counts	2 3 2 2 1 1
apex_at_base	props	4.71238898038469 18.84955592153876 0.0 0.0 1.5 2.2972896279375363 0.0 0.0 2.2972896279375363 0.0 3.1808625617596658
apex_at_base	face	cone 11.780972450961725 0.0 0.0 1.3333333333333333
apex_at_base	face	plane 7.0685834705770345 0.0 0.0 2.0
apex_at_base	edge	degenerated closed 0.0 0.0 0.0 0.0
apex_at_base	edge	regular closed 9.42477796076938 -1.5 0.0 2.0
apex_at_base	edge	regular open 2.5 0.75 0.0 1.0
apex_at_base	vertex	0.0 0.0 0.0
apex_at_base	vertex	1.5 0.0 2.0
frustum	counts	2 3 3 3 1 1
frustum	props	21.991148575128552 45.51172806533727 1.0 2.0 4.178571428571429 29.300961481606233 0.0 0.0 29.300961481606233 0.0 29.216811678385078
frustum	face	cone 29.803764797388304 1.0 2.0 4.333333333333333
frustum	face	plane 3.141592653589793 1.0 2.0 6.0
frustum	face	plane 12.566370614359172 1.0 2.0 3.0
frustum	edge	regular closed 6.283185307179586 0.0 2.0 6.0
frustum	edge	regular closed 12.566370614359172 -1.0 2.0 3.0
frustum	edge	regular open 3.1622776601683795 2.5 2.0 4.5
frustum	vertex	2.0 2.0 6.0
frustum	vertex	3.0 2.0 3.0
frustum_widening	counts	2 3 3 3 1 1
frustum_widening	props	5.105088062083414 40.16207620366918 0.0 0.0 0.3173076923076923 5.149046444866516 0.0 0.0 5.149046444866516 0.0 10.121818830784616
frustum_widening	face	cone 17.385529465143176 0.0 0.0 0.2857142857142857
frustum_widening	face	plane 3.141592653589793 0.0 0.0 0.0
frustum_widening	face	plane 19.634954084936208 0.0 0.0 0.5
frustum_widening	edge	regular closed 6.283185307179586 -1.0 0.0 0.0
frustum_widening	edge	regular closed 15.707963267948966 -2.5 0.0 0.5
frustum_widening	edge	regular open 1.5811388300841898 1.75 0.0 0.25
frustum_widening	vertex	1.0 0.0 0.0
frustum_widening	vertex	2.5 0.0 0.5
nearly_cylinder	counts	2 3 3 3 1 1
nearly_cylinder	props	12.578646455403893 31.43433805078856 0.0 0.0 2.000650723878708 19.919258917928065 0.0 0.0 19.919258917928065 0.0 6.295469143560392
nearly_cylinder	face	cone 25.145013824401207 0.0 0.0 2.0003253619651864
