# case	section	name	row (explicit) or digest (corpus)
split_polygon_3	step	0	unchanged 2958f71aa862bed0ba8b2c50803f2850
split_polygon_3	step	0	unchanged 29606acfb462bed0ba8b2c52cb1719c1
split_polygon_3	step	0	unchanged 2967de84c062bed0ba8b2c5515ef0b32
split_polygon_3	step	0	generated E29c3ea84e403c1866d0680fb96752d34 45f7a688488ba5d97adef862ddafe1cf cut_edge
split_polygon_3	step	0	generated E29c3ea84e403c1866d0680fb96752d34 a0d385a3b1edba89c41089623fa8dd54 cut_edge
split_polygon_3	step	0	split 29c3ea84e403c1866d0680fb96752d34 41957d5eb3a832729763bc7d0159f870,41cda1ce934743511650aadabff24cdb
split_polygon_3	step	0	generated E29d2d1eefc03c1866d0681002c251016 42ef439c084d65a6a9734bcc06e9a220 cut_edge
split_polygon_3	step	0	generated E29d2d1eefc03c1866d0681002c251016 cbd86860654e5f15e19129e73df2df77 cut_edge
split_polygon_3	step	0	split 29d2d1eefc03c1866d0681002c251016 6147ef8c5851f35e48d9f34f71b99ceb,acdfeda70e4df6e354fecc4352bd3694
split_polygon_3	step	0	generated E29da45a40803c1866d06810276fd0187 5a929bc4fe97f9982cabcc600f4ebecc cut_edge
split_polygon_3	step	0	generated E29da45a40803c1866d06810276fd0187 7241d6c94a74abaf402f59224f98323b cut_edge
split_polygon_3	step	0	split 29da45a40803c1866d06810276fd0187 09e9925f0961cc7a38e4e75b8fc7795f,caf5613549786a45a38de0ac9e25cbb0
split_polygon_3	step	0	unchanged 6e8f3c5ba50efaabc964e574bc8693b6
split_polygon_3	step	0	unchanged 749654a4de057d82e5c5cda30eaff6ff
split_polygon_3	step	0	split 8dbc8323f395f7f6ac35f61bf5685be9 03da5dd0a81b704b94a708d6c42ee5f9,4e6656bb1c5f38812b919ce0a3986c8a
split_polygon_3	step	0	unchanged 929eff9b9aada398e599a73b90078d8c
split_polygon_3	step	0	unchanged 92ade705b2ada398e599a74025b7706e
split_polygon_3	step	0	unchanged 92b55ababeada398e599a742708f61df
split_polygon_3	step	0	unchanged e2d9157484b8dcbe41f80e8482f718a8
split_polygon_3	step	0	unchanged e2e0892990b8dcbe41f80e86cdcf0a19
split_polygon_3	step	0	unchanged e2ef7093a8b8dcbe41f80e8b637eecfb
split_polygon_3	step	0	unchanged f003dcfb1c5785ab5e2ccaa971e3d7d9
split_polygon_3	step	0	unchanged f00b50b0285785ab5e2ccaabbcbbc94a
split_polygon_3	step	0	unchanged f012c465345785ab5e2ccaae0793babb
split_polygon_3	step	0	generated Ef4566574f2af5f955e58f984ecd691fc 0b23f7f526fb798b463d70fb75c89a7f cut_vertex
split_polygon_3	step	0	generated Ef4566574f2af5f955e58f984ecd691fc c722f43f1e6ac23a7359968afda1ef78 cut_vertex
split_polygon_3	step	0	split f4566574f2af5f955e58f984ecd691fc 5bce01e70fab4c7260fff52feb2e2f28,305dc15a2fa0101f2b5034febd89496f
split_polygon_3	step	0	generated Ef45dd929feaf5f955e58f98737ae836d 30bcb830365dbef75d9fcdf38886b479 cut_vertex
split_polygon_3	step	0	generated Ef45dd929feaf5f955e58f98737ae836d fc8e60dcfdb7f01d9c81028de7fcfc1e cut_vertex
split_polygon_3	step	0	split f45dd929feaf5f955e58f98737ae836d fa6d3a9fbb50c9403e6172e34d98e3a9,f13c350cb2fa59b0dac96d444cfba28e
split_polygon_3	step	0	generated Ef46cc09416af5f955e58f98bcd5e664f d7f3decabc4086e17ed5b349fc0e1bb6 cut_vertex
split_polygon_3	step	0	generated Ef46cc09416af5f955e58f98bcd5e664f ff096b8694f7d582caaf6be5a08d5765 cut_vertex
split_polygon_3	step	0	split f46cc09416af5f955e58f98bcd5e664f 23a26e2b66197e636d06788614c06335,6a6b6264bdee1af396761e7793c1f606
split_polygon_3	step	0	generated E29d2d1eefc03c1866d0681002c251016,E29da45a40803c1866d06810276fd0187,E29c3ea84e403c1866d0680fb96752d34 db517339a8ddf31eb679a50a385e48f0 cut_face
split_polygon_3	step	0	generated E29d2d1eefc03c1866d0681002c251016,E29da45a40803c1866d06810276fd0187,E29c3ea84e403c1866d0680fb96752d34 e55e819ff69ae608d781bc69b637784b cut_face
split_polygon_3	step	1	deleted 0b23f7f526fb798b463d70fb75c89a7f
split_polygon_3	step	1	unchanged 2958f71aa862bed0ba8b2c50803f2850
split_polygon_3	step	1	unchanged 29606acfb462bed0ba8b2c52cb1719c1
split_polygon_3	step	1	unchanged 2967de84c062bed0ba8b2c5515ef0b32
split_polygon_3	step	1	deleted 30bcb830365dbef75d9fcdf38886b479
split_polygon_3	step	1	deleted 42ef439c084d65a6a9734bcc06e9a220
split_polygon_3	step	1	deleted 45f7a688488ba5d97adef862ddafe1cf
split_polygon_3	step	1	deleted 5a929bc4fe97f9982cabcc600f4ebecc
split_polygon_3	step	1	unchanged 6e8f3c5ba50efaabc964e574bc8693b6
split_polygon_3	step	1	deleted 7241d6c94a74abaf402f59224f98323b
split_polygon_3	step	1	unchanged 749654a4de057d82e5c5cda30eaff6ff
